N,P,K,temperature,humidity,ph,rainfall,label
62.4,29.09,-24.72,25.28,93.27,5.18,66.95,Arecanut
49.79,35.45,31.58,29.06,85.15,6.74,140.74,cotton
23.26,43.87,80.7,22.22,75.26,6.44,26.8,maize
69.8,119.2,-55.74,31.54,88.57,5.95,126.94,maize
43.22,19.79,62.2,26.45,99.8,5.0,31.96,Arecanut
105.11,45.76,54.47,22.1,44.14,6.4,97.06,kidneybeans
-2.75,58.28,152.83,19.09,89.98,5.64,68.66,muskmelon
74.59,77.3,180.05,25.27,112.98,6.93,141.43,Paddy
40.35,66.3,55.4,28.29,55.76,5.89,102.3,apple
52.42,50.45,59.55,20.93,91.89,6.67,121.14,coconut
77.42,48.41,68.93,23.57,68.37,6.51,144.78,jute
69.76,53.29,40.65,20.56,60.86,5.75,91.63,grapes
48.72,73.51,39.07,30.21,94.04,6.57,14.84,lentil
58.56,24.36,47.31,26.11,58.24,7.79,147.05,watermelon
-36.91,8.76,91.4,28.49,38.05,6.09,126.23,apple
51.48,88.88,-17.33,21.76,66.62,5.49,1.3,chickpea
110.5,96.44,-3.75,17.58,100.61,5.61,65.75,chickpea
71.04,69.96,90.03,25.4,27.45,7.04,0.36,Paddy
79.52,31.4,58.42,34.03,44.16,6.34,61.86,blackgram
-6.69,80.85,156.77,30.91,65.09,5.32,112.05,chickpea
56.14,59.18,83.04,27.03,43.99,6.95,128.12,chickpea
0.95,64.47,114.99,26.88,56.81,6.08,123.17,Paddy
56.53,67.32,62.59,31.2,73.29,6.6,127.33,mango
45.17,7.15,-25.25,28.86,71.13,7.17,94.21,mothbeans
64.89,49.51,68.99,24.3,82.37,5.41,-24.93,maize
55.09,31.74,65.32,26.46,52.01,5.33,31.76,chickpea
65.07,110.97,41.01,28.58,38.96,6.91,96.99,apple
-31.83,48.19,-3.41,14.64,50.35,5.66,92.14,blackgram
53.76,15.06,77.27,22.47,80.18,6.41,111.62,orange
105.67,48.38,-21.21,39.38,83.36,7.22,140.74,coffee
27.27,103.31,13.51,23.84,90.48,6.33,-7.86,coffee
-2.82,95.34,60.12,33.59,45.69,6.43,104.11,mothbeans
-6.76,26.43,48.47,29.24,45.65,5.78,60.49,mungbean
83.21,74.64,-4.09,25.58,91.33,6.62,214.71,kidneybeans
56.19,28.15,99.87,32.83,104.49,6.21,140.11,cotton
70.82,39.36,4.57,19.27,51.37,7.98,77.46,banana
35.66,87.15,120.81,23.61,46.24,6.28,39.82,chickpea
31.42,44.03,72.54,23.0,52.65,7.42,63.49,blackgram
63.11,86.55,87.95,30.15,51.59,6.41,82.48,grapes
48.22,-1.58,27.87,34.02,97.42,6.57,71.01,coconut
31.64,103.81,-51.45,26.28,61.3,5.15,76.81,Paddy
45.48,101.45,48.01,23.84,53.17,4.8,116.09,jute
48.82,9.62,14.97,16.7,104.06,6.41,106.15,jute
14.18,-27.24,40.52,26.35,62.24,7.17,84.53,lentil
52.66,-4.82,96.33,29.06,69.74,6.46,151.01,mango
90.26,47.49,35.94,32.09,84.05,6.15,212.64,papaya
54.8,70.31,11.72,22.91,66.76,4.13,115.32,coffee
-4.83,124.48,-23.51,28.72,81.59,6.17,76.05,rice
49.38,41.31,129.54,26.32,84.55,7.72,26.66,chickpea
86.32,39.68,9.71,21.55,67.95,5.54,25.56,pomegranate
64.41,38.1,27.93,21.81,78.8,7.06,106.72,pigeonpeas
91.79,29.63,42.62,18.8,71.35,6.77,154.51,jute
78.47,47.07,17.99,24.64,35.6,7.36,153.07,mothbeans
89.7,82.83,42.07,23.9,62.48,7.61,117.15,jute
47.08,14.95,16.56,22.59,56.72,6.18,148.76,jute
32.18,69.16,39.67,32.33,76.61,6.7,99.19,watermelon
27.07,100.08,28.16,25.7,65.78,5.73,62.63,papaya
44.99,35.37,131.78,31.38,118.04,6.17,16.74,mango
34.67,17.06,85.69,27.62,53.33,6.98,98.55,cotton
57.81,15.98,80.22,27.95,71.29,6.89,45.69,jute
5.12,22.08,73.13,26.66,85.41,8.29,238.94,papaya
-6.44,37.44,122.95,27.83,94.26,7.06,121.63,cotton
69.41,47.68,73.85,34.7,71.58,7.28,135.56,grapes
67.97,34.21,-48.79,23.91,105.08,7.15,85.63,mungbean
57.33,82.13,3.82,14.87,84.08,6.39,124.45,papaya
34.47,9.71,27.98,35.83,75.42,7.05,139.14,blackgram
74.99,65.59,53.01,25.0,72.21,7.26,145.98,mothbeans
32.52,60.48,84.29,29.1,112.42,6.0,56.89,papaya
90.48,34.96,58.91,23.58,48.11,5.88,80.68,jute
40.19,53.91,32.37,22.56,30.29,6.54,100.42,mungbean
72.01,45.73,-22.92,17.8,75.42,6.33,63.85,grapes
58.95,3.17,38.25,30.7,52.76,6.52,34.42,rice
37.27,59.8,94.12,27.95,75.07,7.27,125.3,mothbeans
71.58,96.28,75.21,25.19,89.59,5.43,9.15,muskmelon
56.42,53.3,-94.11,23.71,69.37,6.54,106.16,muskmelon
-43.82,97.94,41.03,19.0,95.74,7.11,123.47,maize
13.04,50.29,27.56,17.8,77.44,5.69,92.12,coconut
-10.54,65.22,26.05,16.62,53.22,5.95,159.48,rice
67.08,48.26,61.41,27.62,75.21,5.2,92.74,apple
85.52,75.47,54.48,29.11,77.18,5.76,116.28,blackgram
80.43,71.23,8.25,18.87,62.47,6.18,101.76,rice
-8.99,20.55,42.88,30.36,71.71,6.89,148.53,coconut
133.43,77.28,2.94,25.01,55.65,7.28,-10.26,apple
37.39,71.15,59.17,40.3,63.31,6.36,160.63,mothbeans
22.61,48.11,25.36,21.23,54.12,5.26,1.16,muskmelon
63.9,60.75,108.05,22.25,58.31,5.12,94.85,coffee
51.28,-3.05,-6.12,27.65,84.01,6.36,162.05,banana
-36.01,78.65,9.39,26.99,72.22,5.32,106.66,mango
56.35,60.36,-6.12,25.61,108.99,6.61,93.44,watermelon
-3.83,54.27,54.84,23.03,72.23,5.57,177.54,lentil
63.45,62.82,102.19,26.09,102.18,6.06,205.54,cotton
32.53,31.18,6.51,27.89,101.66,5.95,60.81,coconut
133.39,28.14,84.22,25.68,67.07,5.67,82.27,mungbean
46.91,64.19,28.49,26.03,78.21,6.1,96.14,mungbean
49.23,41.99,-37.65,27.98,92.54,5.16,137.54,apple
2.57,71.87,53.51,22.25,72.73,8.13,67.04,maize
79.41,69.86,65.64,29.4,42.11,6.45,60.31,pomegranate
106.71,73.99,81.71,25.84,69.21,6.21,82.32,Paddy
14.76,46.43,-4.82,25.12,72.47,5.73,36.64,Paddy
-10.38,11.18,71.62,15.02,84.21,7.39,104.11,orange
22.58,39.29,-14.98,14.41,70.88,5.84,77.29,pigeonpeas
64.51,48.12,117.04,29.07,44.17,7.09,210.95,pigeonpeas
68.28,27.32,-13.32,21.67,69.17,5.65,114.71,blackgram
81.13,-2.95,52.98,19.84,50.1,6.55,121.55,pomegranate
-1.79,-12.82,54.87,20.72,106.13,5.02,72.91,banana
105.42,60.29,34.13,22.06,74.12,6.61,100.2,orange
60.3,37.55,-43.74,27.13,87.53,6.63,221.88,watermelon
30.99,40.83,20.33,11.92,77.6,5.78,106.66,coconut
42.26,36.37,-45.41,24.81,99.13,6.25,110.81,Paddy
44.17,56.11,55.83,33.05,68.89,7.35,124.41,rice
25.67,55.38,116.85,31.06,90.16,5.85,161.27,coffee
19.79,69.6,-35.69,31.21,38.2,7.05,97.15,pigeonpeas
46.55,68.34,136.19,30.0,78.37,6.74,177.88,muskmelon
40.45,93.89,56.9,23.53,70.11,6.95,164.2,lentil
64.66,71.89,-35.36,31.24,84.82,6.05,173.78,jute
115.17,54.52,58.64,25.29,79.44,6.46,61.76,mungbean
55.68,85.15,-48.54,29.87,60.25,7.93,149.66,watermelon
7.95,27.7,103.6,25.92,72.18,7.13,113.29,blackgram
63.17,21.41,27.37,23.17,67.68,6.12,187.97,muskmelon
39.64,51.05,1.2,21.81,67.68,6.56,65.91,chickpea
44.93,72.06,-26.82,12.2,89.99,6.52,138.61,grapes
10.77,46.06,71.14,22.83,36.96,5.36,144.44,rice
81.74,59.88,-26.88,20.35,75.09,6.49,139.95,rice
111.48,87.62,107.96,27.97,81.92,6.63,129.43,banana
49.24,30.84,-21.62,20.23,42.24,5.33,111.69,lentil
84.04,112.94,-7.36,21.89,55.84,6.84,56.92,chickpea
53.72,2.72,36.9,25.33,77.36,6.53,148.55,coconut
134.25,115.68,49.9,27.37,109.26,6.43,107.75,papaya
29.87,64.0,-1.7,24.92,83.34,6.83,87.6,banana
57.61,64.71,-63.68,27.0,81.81,7.63,53.05,watermelon
63.16,53.02,46.18,18.46,85.01,7.22,63.28,apple
10.93,63.0,24.53,26.9,70.63,7.27,103.67,Paddy
86.25,71.25,-45.29,15.26,43.1,5.25,149.25,watermelon
13.97,79.97,54.39,17.86,57.2,5.25,88.52,rice
19.93,97.12,96.0,30.61,47.97,5.45,243.48,jute
76.64,88.01,1.16,27.38,65.34,7.33,139.31,rice
39.2,27.91,17.09,23.68,64.03,7.26,70.36,coconut
32.68,39.45,-71.42,24.79,66.0,6.6,53.23,rice
50.71,-15.56,-65.43,23.55,71.12,5.83,152.77,muskmelon
25.72,78.06,45.91,17.39,73.56,6.41,-4.53,jute
55.68,52.17,61.94,25.17,71.95,6.07,106.85,lentil
2.26,26.94,-76.46,20.21,66.98,5.53,138.9,papaya
69.07,54.6,53.75,24.95,42.4,5.98,10.45,orange
48.04,54.29,108.11,30.98,112.93,6.38,213.65,grapes
32.69,19.19,116.03,19.73,56.84,6.32,147.96,watermelon
64.89,65.33,45.5,31.09,51.36,6.0,47.61,mango
78.16,56.51,103.75,9.07,57.82,5.86,110.52,rice
115.72,57.33,-11.4,29.36,64.4,6.06,54.82,muskmelon
3.2,53.55,-35.5,21.49,70.72,5.98,120.4,pigeonpeas
36.89,63.07,0.88,30.55,82.91,5.81,147.29,chickpea
41.63,65.92,-28.27,15.52,78.26,5.68,81.44,orange
6.1,87.39,112.6,19.18,84.65,6.56,86.1,watermelon
56.96,49.7,-38.4,29.48,109.65,6.49,135.2,mungbean
79.1,105.35,169.43,24.69,111.7,5.73,182.94,Paddy
55.44,-7.97,-6.7,32.6,94.91,6.46,164.78,apple
10.53,-0.2,113.86,28.44,59.33,5.33,87.89,coffee
57.36,58.92,58.96,28.6,74.01,6.96,139.71,maize
30.81,23.88,73.5,26.15,107.3,7.13,30.59,Arecanut
10.96,92.93,14.42,36.92,12.06,7.13,146.12,muskmelon
32.18,72.46,-22.21,32.93,98.13,6.65,145.2,orange
17.46,109.09,33.95,38.45,72.55,6.48,143.08,blackgram
130.41,79.9,60.08,23.37,61.72,7.18,70.49,Paddy
49.82,37.51,-19.68,25.08,89.27,5.78,143.44,jute
58.54,42.12,-130.18,26.98,41.99,6.36,97.7,mango
46.86,83.71,31.55,31.67,63.84,6.88,100.94,orange
25.73,21.49,33.24,32.36,96.02,6.19,58.21,jute
67.76,106.04,137.83,21.95,84.63,5.84,74.09,orange
64.62,41.79,95.58,21.7,58.67,7.26,181.88,blackgram
65.83,-0.64,35.42,18.48,76.43,6.87,132.98,Paddy
-6.14,39.41,-61.31,26.43,83.95,5.7,182.37,rice
74.34,31.65,125.01,27.61,41.33,5.63,130.61,mango
5.71,57.71,66.73,20.71,90.25,7.13,118.17,apple
56.57,68.87,54.82,22.44,49.2,7.6,68.13,Arecanut
92.54,76.03,87.67,26.18,71.39,6.51,175.21,kidneybeans
3.58,111.98,43.46,25.29,70.35,6.88,17.61,pomegranate
114.37,92.28,14.97,22.71,71.21,6.81,103.6,blackgram
33.3,105.62,94.42,21.39,36.24,6.23,52.44,pomegranate
29.16,33.53,143.09,23.06,73.71,6.41,71.49,Paddy
98.98,52.35,41.91,30.29,59.23,6.63,139.91,pigeonpeas
66.85,85.28,58.97,22.73,88.98,6.72,79.36,papaya
55.49,-19.2,76.2,27.95,47.04,5.47,125.86,mango
-15.31,26.26,-31.13,31.68,87.28,5.07,84.46,apple
80.82,-13.29,42.76,26.33,56.08,7.0,215.82,apple
65.84,47.66,8.04,18.68,60.15,5.29,59.46,jute
6.7,77.38,62.67,28.39,34.21,7.09,113.24,mungbean
30.94,74.42,46.14,31.36,115.12,7.96,46.07,blackgram
37.22,21.1,-35.99,21.7,123.6,6.94,120.24,maize
72.51,114.92,-40.82,21.21,54.29,6.57,-7.22,mothbeans
53.92,58.7,89.55,26.32,65.47,6.46,212.17,watermelon
12.85,26.09,-26.0,20.23,44.81,6.92,298.31,kidneybeans
45.7,49.57,39.53,30.72,74.51,8.3,32.55,apple
49.98,101.93,47.05,32.97,74.03,5.8,186.26,coconut
77.41,60.17,11.96,28.25,70.96,7.12,52.56,coffee
54.25,78.56,90.21,27.85,46.62,7.13,9.23,pomegranate
37.75,26.47,79.41,18.34,55.78,6.13,-21.09,muskmelon
62.46,9.12,45.35,21.12,62.26,6.73,99.19,coconut
34.61,100.66,42.58,22.73,58.03,5.36,1.72,pigeonpeas
79.28,79.86,66.26,25.12,83.84,5.75,162.65,pigeonpeas
39.4,69.65,62.26,20.91,50.86,6.95,61.75,pigeonpeas
79.33,29.04,22.79,26.26,81.7,5.77,141.09,chickpea
39.0,75.38,47.6,26.63,83.58,7.12,138.59,coconut
87.47,56.25,-22.83,24.63,69.74,7.17,76.6,cotton
42.24,8.89,58.22,34.89,56.69,7.23,118.62,mothbeans
108.36,60.01,22.48,22.53,66.18,6.36,183.63,jute
16.63,21.1,41.33,24.64,114.68,5.58,140.61,jute
113.1,111.71,99.2,30.15,69.35,6.14,99.39,Arecanut
61.29,80.48,53.06,25.39,89.38,4.92,135.44,coffee
31.38,81.85,72.96,18.49,55.32,6.0,122.0,banana
8.09,61.43,104.33,32.34,135.16,6.45,138.27,grapes
36.02,36.56,-27.11,26.45,90.15,5.55,107.3,apple
37.5,107.57,17.64,27.99,61.91,7.28,135.18,kidneybeans
66.62,5.36,22.68,19.01,79.7,5.64,154.86,kidneybeans
72.95,21.34,-19.52,24.08,90.27,6.45,77.82,Paddy
92.61,57.27,30.58,22.27,52.85,6.89,29.85,cotton
25.87,57.44,68.57,26.26,105.58,6.05,57.09,coffee
54.67,76.19,27.11,31.05,69.47,6.05,135.39,rice
130.87,50.54,32.4,23.32,106.03,6.41,140.49,kidneybeans
40.52,71.32,51.48,23.39,82.29,6.26,147.85,Paddy
75.88,36.74,79.99,31.49,78.18,7.64,97.8,mothbeans
55.15,18.18,29.73,20.55,111.43,7.19,181.89,kidneybeans
24.53,65.05,86.7,26.17,95.31,5.43,142.98,Arecanut
18.16,67.02,116.12,26.14,100.8,5.96,80.72,jute
47.84,-8.82,31.13,25.49,70.88,5.88,131.25,coffee
50.96,48.47,155.04,24.39,105.19,4.43,23.31,pomegranate
107.61,91.63,-41.25,31.55,80.42,6.03,157.97,apple
106.98,124.55,-15.19,27.94,80.52,7.77,110.3,pigeonpeas
-17.36,96.63,53.25,34.55,78.63,8.16,133.88,grapes
30.31,48.5,44.88,34.08,77.81,5.96,50.18,mungbean
85.13,63.22,18.58,33.24,85.33,7.0,86.86,muskmelon
-44.73,95.33,89.17,28.48,82.6,6.49,152.41,papaya
77.12,48.47,2.27,28.53,84.93,8.57,169.14,chickpea
8.58,58.17,192.73,23.14,65.27,6.66,27.76,cotton
132.13,34.82,78.33,16.03,55.76,7.53,14.17,chickpea
-21.27,75.15,42.02,27.08,58.82,6.17,61.15,mothbeans
1.16,23.74,51.88,24.9,44.01,5.98,158.91,blackgram
27.44,75.93,46.94,19.65,43.95,7.81,170.33,mungbean
60.56,62.29,48.25,26.03,64.13,6.1,86.41,maize
-9.62,55.24,75.48,26.38,104.64,5.16,119.25,muskmelon
32.94,76.82,58.33,32.58,16.31,4.64,203.0,Arecanut
57.55,63.33,-11.99,31.58,92.13,5.73,83.79,mungbean
57.02,59.63,49.62,20.23,57.73,7.47,110.73,jute
76.83,111.06,57.7,21.37,87.67,5.97,164.62,rice
20.57,63.13,94.65,34.96,75.53,6.92,180.08,lentil
71.41,69.58,55.9,32.14,90.75,6.12,149.98,pigeonpeas
88.99,67.34,17.21,23.03,91.83,7.45,-4.37,Arecanut
49.21,106.02,8.5,22.61,90.38,6.6,167.58,maize
30.74,65.51,41.99,26.38,71.02,7.92,144.56,Arecanut
80.42,17.37,47.85,24.87,98.3,6.66,151.55,coconut
34.54,141.45,94.5,32.65,76.1,6.2,43.25,pomegranate
137.91,86.95,41.82,30.42,90.31,5.08,155.97,coconut
131.13,73.46,153.98,30.25,109.34,6.21,96.13,kidneybeans
86.43,88.54,128.33,28.17,70.92,7.05,165.13,mango
79.92,77.64,69.92,33.55,43.79,7.22,120.8,coffee
31.86,13.29,74.08,19.34,83.48,7.1,122.79,watermelon
60.97,58.04,-12.89,30.81,59.05,6.45,194.42,orange
72.02,55.87,102.88,23.58,81.66,5.11,151.19,maize
110.83,63.88,-21.05,33.03,98.66,7.43,112.82,cotton
76.16,22.41,-24.55,16.81,111.59,6.13,45.83,watermelon
11.02,28.87,158.05,25.27,93.05,6.01,111.79,kidneybeans
7.94,54.38,79.52,16.39,48.29,7.91,32.25,pomegranate
70.15,55.51,27.26,27.53,33.67,6.46,0.66,coconut
44.0,22.87,54.73,27.03,84.89,6.66,14.62,rice
65.39,37.21,18.39,32.88,35.43,8.17,58.17,pomegranate
51.23,93.41,-54.94,29.48,108.43,7.15,163.78,Arecanut
82.88,43.59,13.5,27.89,93.09,6.92,30.71,coffee
39.29,59.75,-3.96,22.74,69.68,6.31,160.18,papaya
30.96,83.85,70.36,30.11,47.86,7.13,74.84,papaya
-26.36,39.21,25.86,31.59,81.03,5.85,208.66,apple
17.55,65.73,95.25,28.84,85.06,7.81,43.96,Arecanut
58.65,-9.29,66.41,26.23,68.29,5.6,32.23,cotton
130.66,42.44,64.39,20.96,51.34,6.4,45.49,watermelon
54.3,96.82,-6.27,27.39,113.26,5.83,129.95,kidneybeans
53.72,32.31,52.45,21.47,67.14,6.57,96.19,banana
91.79,69.13,94.99,21.24,73.46,5.68,113.31,watermelon
79.82,23.91,-22.29,26.74,88.77,6.97,57.29,coconut
67.53,-18.87,136.46,23.2,59.12,6.68,114.81,kidneybeans
35.05,54.17,15.24,35.02,87.44,5.9,65.56,Arecanut
35.6,59.19,46.77,32.61,2.5,6.75,49.15,mango
78.33,39.83,51.76,29.49,76.06,7.69,148.73,Arecanut
43.66,77.2,41.6,25.4,75.48,6.97,68.28,mango
86.53,-4.62,-8.61,18.89,85.53,7.22,155.88,orange
33.8,-8.52,54.39,32.14,93.93,5.62,127.04,maize
3.09,32.67,139.42,29.83,94.19,6.38,54.91,pomegranate
37.29,43.84,22.21,28.23,62.71,6.13,53.95,orange
10.04,37.41,39.69,27.5,53.26,7.2,157.0,lentil
51.05,70.74,39.06,26.01,89.51,5.25,112.83,watermelon
76.89,30.36,188.41,27.31,84.17,6.14,85.12,Paddy
9.17,15.93,30.15,20.62,88.29,6.78,72.01,blackgram
54.8,16.24,11.89,26.59,55.65,4.78,20.84,lentil
32.49,41.77,126.86,27.83,46.98,5.49,90.6,coconut
48.37,43.64,60.66,28.61,48.48,5.1,46.42,cotton
65.91,64.13,50.85,29.13,86.3,6.26,197.89,coconut
48.04,95.35,10.37,24.39,80.1,6.81,88.71,blackgram
111.53,68.01,54.9,18.98,82.94,5.28,197.43,Paddy
63.83,34.27,65.53,25.58,84.24,6.61,85.27,lentil
42.78,61.93,101.62,23.79,59.8,6.36,122.23,watermelon
-5.21,114.67,-14.02,11.87,49.33,6.62,145.79,blackgram
22.77,92.5,64.02,22.99,56.32,5.46,33.33,Paddy
16.72,65.3,33.83,20.73,22.39,5.8,124.12,pigeonpeas
18.56,-7.65,-35.63,33.4,53.83,6.79,181.25,jute
83.39,40.8,78.42,33.02,89.27,5.69,218.82,muskmelon
96.07,16.13,-25.29,22.62,76.42,6.27,112.6,coconut
82.01,91.17,41.95,28.27,78.64,6.19,170.52,blackgram
35.35,60.05,49.0,25.88,91.4,6.67,91.97,cotton
5.3,-3.03,-8.07,23.36,59.82,5.26,182.95,pigeonpeas
72.79,58.33,41.9,25.37,38.96,7.4,47.82,Arecanut
95.8,39.11,91.85,24.18,120.27,7.16,146.78,maize
24.46,107.27,68.79,24.79,78.56,6.79,57.89,apple
116.43,77.27,-3.86,28.37,45.51,6.9,65.49,apple
18.97,90.45,36.97,34.17,91.27,7.2,162.94,Paddy
72.94,30.02,22.82,19.21,89.09,7.05,91.65,banana
90.4,50.61,89.86,24.37,102.94,5.72,70.11,coffee
-2.54,102.17,25.68,26.6,83.08,5.78,73.05,papaya
59.89,15.74,-23.44,24.0,81.18,6.69,107.65,mango
65.37,68.37,67.1,29.96,88.0,6.03,111.13,Arecanut
101.38,59.96,34.34,24.47,120.51,8.52,50.48,lentil
35.33,10.93,30.08,18.91,84.76,7.3,121.41,mungbean
82.91,17.69,104.16,22.39,114.31,6.72,21.66,watermelon
47.03,98.89,26.9,25.54,63.22,5.88,181.56,Arecanut
73.43,99.3,-80.32,25.42,79.22,6.07,116.87,pomegranate
35.43,76.31,12.59,23.79,78.9,6.61,82.28,muskmelon
54.91,67.74,-13.26,14.3,56.61,6.31,122.23,mothbeans
66.52,89.75,68.49,29.34,86.77,7.43,147.78,papaya
64.19,27.91,6.57,29.17,70.33,5.79,117.11,watermelon
90.69,57.7,137.91,29.03,84.5,6.05,143.35,Arecanut
53.23,104.24,61.07,22.52,128.13,6.94,99.62,chickpea
31.5,56.88,148.46,20.26,70.83,6.56,95.79,apple
29.2,17.16,39.76,20.87,106.36,5.69,62.21,muskmelon
79.06,51.19,78.08,29.01,73.84,5.94,44.2,pigeonpeas
37.34,87.27,59.91,28.96,101.12,7.21,228.68,grapes
82.78,49.31,0.02,28.93,57.92,8.68,81.72,Paddy
48.99,-7.2,98.5,22.62,89.38,7.17,25.54,orange
19.97,106.13,40.59,26.41,73.52,6.9,82.05,watermelon
83.18,59.03,-2.12,26.67,91.64,6.48,93.31,mango
33.54,50.64,128.47,19.15,52.93,5.14,55.97,apple
4.64,34.45,16.71,18.83,112.53,6.53,132.12,banana
47.98,54.9,74.52,27.03,76.66,7.47,166.42,mango
80.73,94.77,181.17,29.11,85.83,6.86,87.48,apple
47.66,39.58,-23.95,20.17,40.4,6.35,116.07,Paddy
-7.64,53.64,16.54,24.37,50.39,7.39,137.55,maize
81.6,34.95,102.74,24.32,114.91,6.53,52.13,blackgram
44.07,24.51,75.57,26.95,95.43,5.98,86.94,Arecanut
86.71,39.37,47.42,31.71,81.17,6.4,59.97,watermelon
22.54,42.75,-61.13,29.21,113.82,6.88,98.34,mothbeans
37.75,6.21,85.72,23.27,102.63,5.41,181.13,muskmelon
59.51,-20.62,105.06,31.5,52.44,6.22,133.06,cotton
12.77,92.83,71.58,20.77,70.94,7.31,-8.35,pomegranate
34.24,58.32,85.61,32.73,89.57,7.24,77.95,coconut
-2.16,34.23,59.57,18.92,95.27,6.22,110.96,blackgram
30.02,27.98,49.06,27.46,67.84,5.77,114.95,mungbean
78.57,80.12,-29.45,15.32,24.5,6.3,66.39,pomegranate
-28.04,112.6,107.32,32.94,69.21,6.29,71.23,chickpea
-6.82,32.48,85.36,34.14,78.74,5.71,12.73,jute
8.01,44.39,64.14,16.66,106.68,6.58,110.62,Paddy
16.28,91.37,47.26,18.33,85.13,6.53,61.95,lentil
31.44,41.81,79.5,21.3,57.77,6.01,125.06,blackgram
-3.63,26.9,65.93,17.2,55.72,5.51,123.63,Arecanut
-20.23,76.26,-51.18,26.6,57.23,6.61,21.44,coconut
61.08,40.81,148.05,25.89,54.63,5.75,-44.25,muskmelon
83.57,86.92,30.18,19.08,63.16,7.53,77.76,mango
37.76,67.74,27.52,29.71,65.71,7.06,35.79,banana
-0.0,22.05,51.46,27.45,99.94,6.69,81.24,chickpea
80.07,42.02,0.35,28.32,35.89,6.11,210.15,pigeonpeas
43.56,101.64,20.76,22.31,70.56,7.05,160.33,lentil
52.91,2.07,55.88,23.29,65.94,7.2,65.6,kidneybeans
5.26,41.38,101.07,22.16,70.79,7.4,136.27,orange
41.75,32.62,68.94,20.58,53.82,6.93,56.37,papaya
34.41,37.35,11.78,31.04,67.6,6.62,118.39,mango
-3.71,97.12,122.59,29.04,71.18,6.18,106.71,coconut
49.47,81.38,18.73,21.8,49.28,5.99,67.68,mango
89.81,65.93,-37.41,27.57,83.58,6.26,101.91,grapes
41.9,55.38,86.79,23.91,88.94,5.21,47.82,chickpea
45.11,38.36,119.93,25.44,56.08,7.32,64.87,chickpea
57.38,47.11,35.52,16.91,25.96,7.27,43.49,banana
2.05,65.73,4.07,19.66,58.8,6.15,34.23,chickpea
19.67,36.92,43.23,22.17,108.08,6.12,60.18,jute
105.66,15.62,49.63,20.93,103.76,5.71,193.55,grapes
